model_key,hf_id,seed,accuracy,macro_f1,weighted_f1,no_f1,no_precision,no_recall,no_support,intrinsic_f1,intrinsic_precision,intrinsic_recall,intrinsic_support,extrinsic_f1,extrinsic_precision,extrinsic_recall,extrinsic_support
qwen35_peft,Qwen/Qwen3.5-4B,42,0.8238095238095238,0.8251067761706059,0.8242143836611922,0.8723404255319149,0.8885448916408669,0.8567164179104477,335,0.8081081081081081,0.8016085790884718,0.8147138964577657,367,0.7948717948717948,0.788135593220339,0.8017241379310345,348
gemma4_peft,google/gemma-4-E2B-it,42,0.8219047619047619,0.8221524725190886,0.821188208576068,0.8708272859216255,0.847457627118644,0.8955223880597015,335,0.8021680216802168,0.7978436657681941,0.8065395095367848,367,0.7934621099554234,0.8215384615384616,0.7672413793103449,348
phobert,vinai/phobert-base-v2,42,0.7438095238095238,0.7452127034708879,0.743795525986986,0.7852062588904695,0.75,0.8238805970149253,335,0.6942590120160214,0.680628272251309,0.7084468664850136,367,0.7561728395061729,0.8166666666666667,0.7040229885057471,348
xlmr,FacebookAI/xlm-roberta-base,42,0.7295238095238096,0.7294640840718922,0.7277050080918075,0.7770177838577291,0.7171717171717171,0.8477611940298507,335,0.6647887323943662,0.6880466472303207,0.6430517711171662,367,0.7465857359635811,0.7909967845659164,0.7068965517241379,348
