model,seed,accuracy,macro_f1,weighted_f1
gemma4_peft,42,0.8219047619047619,0.8221524725190886,0.821188208576068
gemma4_peft,43,0.8152380952380952,0.8150656599526555,0.814260387970844
gemma4_peft,44,0.8228571428571428,0.8233797042705214,0.8225627923014335
phobert,42,0.7438095238095238,0.7452127034708879,0.743795525986986
qwen35_peft,42,0.8238095238095238,0.8251067761706059,0.8242143836611922
qwen35_peft,43,0.8219047619047619,0.8228672883409726,0.8219556771809402
qwen35_peft,44,0.8285714285714286,0.8300716903770917,0.8293037943143199
xlmr,42,0.7295238095238096,0.7294640840718922,0.7277050080918075
