condition,rows,accuracy,macro_f1,weighted_f1,no_f1,intrinsic_f1,extrinsic_f1
full,1050,0.8266666666666667,0.8279897243061695,0.8271365062882967,0.8732824427480916,0.8118279569892473,0.7988587731811697
no_prompt,1050,0.799047619047619,0.8002034108933004,0.7999862180759569,0.8237179487179487,0.8042895442359249,0.7726027397260274
response_only,1050,0.4,0.2910033514872224,0.29553352817177697,0.005952380952380952,0.3463203463203463,0.5207373271889401
shuffled_context,1050,0.36,0.2246337720123616,0.2263295116940251,0.0,0.16464891041162227,0.5092524056254626
